Project,Client,Title,Duration
SOS1920-10,,#1 Tarea AJJS,00:02:10
SOS1920-10,,#10 Issue D01 by AJJS,21:38:40
SOS1920-10,,#11 F04/D01,12:43:57
SOS1920-10,,#13 Entregable D02 AJJ,16:48:47
SOS1920-10,,#14 D03 AJJ,40:33:00
SOS1920-10,,#18 Entregable D03,23:18:00
SOS1920-10,,#2 L02,00:01:41
SOS1920-10,,#4 Creación de Servidor para F02,03:25:13
SOS1920-10,,#6 F02_juanma,03:07:36
SOS1920-10,,#7 L06 y L07,04:16:18
SOS1920-10,,#9 Creación de una API REST,10:28:01
SOS1920-10,,D02,06:38:00
SOS1920-10,,D03,09:10:55
SOS1920-10,,D03 B,09:41:05
SOS1920-10,,D03 B Integracion API´s,05:20:00
SOS1920-10,,D2,05:38:10
SOS1920-10,,D3,10:31:46
SOS1920-10,,Getting ready F02,04:28:14
SOS1920-10,,Getting ready F03,07:28:57
SOS1920-10,,Issue JVR,00:35:56
SOS1920-10,,,00:03:55
